,Gini
0,0.0
1,0.24560000000000004
2,0.3328
3,0.38639999999999997
4,0.41359999999999997
5,0.5056
6,0.5632
7,0.5632
8,0.5416000000000001
9,0.5848
10,0.5920000000000001
11,0.6056
12,0.6424000000000001
13,0.648
14,0.656
15,0.6904
16,0.692
17,0.6768000000000001
18,0.6848000000000001
19,0.6656
20,0.672
21,0.6688000000000001
22,0.676
23,0.676
24,0.6784
25,0.6488
26,0.6272
27,0.6216
28,0.644
29,0.6384000000000001
30,0.6384000000000001
31,0.6392
32,0.644
33,0.6536
34,0.6616
35,0.6536
36,0.6272
37,0.6648000000000001
38,0.6648000000000001
39,0.692
40,0.6568
41,0.6648000000000001
42,0.6152
43,0.5976
44,0.6152
45,0.6712
46,0.6872
47,0.6648000000000001
48,0.6648000000000001
49,0.6744
50,0.656
51,0.64
52,0.6776
53,0.624
54,0.628
55,0.6080000000000001
56,0.6184000000000001
57,0.6112
58,0.6064
59,0.6152
60,0.6328
61,0.6016
62,0.5976
63,0.5408
64,0.5864
65,0.5272
66,0.6088
67,0.6168
68,0.6168
69,0.5768
70,0.5880000000000001
71,0.6295999999999999
72,0.6136
73,0.652
74,0.6704
75,0.6704
76,0.6799999999999999
77,0.6512
78,0.6624000000000001
79,0.66
80,0.6816
81,0.676
82,0.6688000000000001
83,0.6976
84,0.6672
85,0.6704
86,0.6776
87,0.6304000000000001
88,0.6384000000000001
89,0.636
90,0.6512
91,0.6672
92,0.6904
93,0.728
94,0.732
95,0.7456
96,0.7303999999999999
97,0.7424
98,0.724
99,0.6968000000000001
